
timestamp,Fruges Wind Speed [100 m],Fruges Wind Direction [100 m]
20190115T1000,7.324616,255.77405
20190115T1100,7.42159,255.96376
20190115T1200,7.665507,262.50415
20190115T1300,7.138627,258.69006
20190115T1400,7.9762144,262.0731
20190115T1500,7.5133214,260.0362
20190115T1600,8.532877,259.87534
20190115T1700,7.788453,254.35776
20190115T1800,7.5239615,246.50143
20190115T1900,7.7025967,240.43965
20190115T2000,7.877182,236.91515
20190115T2100,8.021221,234.13017
20190115T2200,8.146779,228.48328
20190115T2300,8.489994,226.90915
20190116T0000,8.711487,228.25723
20190116T0100,9.052072,225.89517
20190116T0200,9.338095,226.73572
20190116T0300,9.192389,225.0
20190116T0400,9.068627,221.42366
20190116T0500,8.40238,218.23383
20190116T0600,8.20975,214.0772
20190116T0700,8.323461,215.21759
20190116T0800,7.988116,214.28688
20190116T0900,7.877182,213.08485
20190116T1000,8.077747,211.32869
20190116T1100,8.026207,210.7189
20190116T1200,6.842514,206.93953
20190116T1300,7.4706087,207.93715
20190116T1400,8.266196,214.6513
20190116T1500,7.9924965,211.70143
20190116T1600,8.335466,210.25644
20190116T1700,8.850988,212.074
20190116T1800,9.2439165,211.28265
20190116T1900,9.679876,213.19757
20190116T2000,10.404326,215.21759
20190116T2100,11.385077,218.5812
20190116T2200,12.108262,228.01279
20190116T2300,9.848858,246.0375
20190117T0000,7.5006666,270.76392
20190117T0100,6.8007355,270.84253
20190117T0200,6.5069194,267.35748
20190117T0300,6.332456,254.42746
20190117T0400,7.111962,242.35403
20190117T0500,7.940403,233.70737
20190117T0600,8.8729925,230.02908
20190117T0700,9.220087,233.37868
20190117T0800,8.363014,243.74135
20190117T0900,7.368175,277.8002
20190117T1000,8.420214,307.27817
20190117T1100,8.980535,314.5489
20190117T1200,8.6977005,314.53418
20190117T1300,9.15478,310.1261
20190117T1400,9.687621,314.5818
20190117T1500,9.193476,315.8814
20190117T1600,8.7045965,312.67218
20190117T1700,8.481155,307.81573
20190117T1800,8.70919,304.23746
20190117T1900,9.068627,311.42368
20190117T2000,8.845903,317.29062
20190117T2100,8.1024685,324.54456
20190117T2200,7.6609397,324.02762
20190117T2300,7.6216793,321.92725
20190118T0000,6.2289643,317.60257
20190118T0100,5.375872,316.50745
20190118T0200,5.481788,308.33334
20190118T0300,5.5758405,302.55
20190118T0400,4.9819674,308.48022
20190118T0500,4.318565,317.81555
20190118T0600,3.5468295,319.57394
20190118T0700,3.0,306.8699
20190118T0800,2.1023796,295.3462
20190118T0900,0.8062258,262.875
20190118T1000,1.3,180.0
20190118T1100,2.7,180.0
20190118T1200,3.9115217,184.39871
20190118T1300,3.1016126,178.15239
20190118T1400,3.224903,172.87498
20190118T1500,3.905125,166.67548
20190118T1600,4.7801676,164.21925
20190118T1700,5.249762,162.25533
20190118T1800,5.60803,158.00887
20190118T1900,6.5299315,152.65012
